,hotel_names,city_names,counrtys,contenantels,ratings,reviews
262,Peppers Cradle Mountain Lodge,tasmania,australia,australia pacific,(4.0),3309
263,Mantra Charles Hotel Launceston,tasmania,australia,australia pacific,(4.5),2222
264,Mövenpick Hotel Hobart,tasmania,australia,australia pacific,(4.5),277
265,Peppers Seaport Launceston,tasmania,australia,australia pacific,(4.5),1422
266,Novotel Devonport,tasmania,australia,australia pacific,(4.0),37
267,Peppers Silo Launceston,tasmania,australia,australia pacific,(4.5),935
268,Mercure Launceston,tasmania,australia,australia pacific,(3.5),560
269,Mantra on Collins Hobart,tasmania,australia,australia pacific,(4.0),1738
270,southern tasmania,tasmania,australia,australia pacific,nan,
271,north east tasmania,tasmania,australia,australia pacific,nan,
272,north west tasmania,tasmania,australia,australia pacific,nan,
273,Mantra Sun City Surfers Paradise,queensland,australia,australia pacific,(4.0),3163
274,Mantra PortSea Port Douglas,queensland,australia,australia pacific,(3.5),2474
275,Mantra Broadbeach on the Park,queensland,australia,australia pacific,(4.0),798
276,Mercure Brisbane King George Square,queensland,australia,australia pacific,(4.0),1389
277,BreakFree Beachpoint Surfers Paradise,queensland,australia,australia pacific,(4.0),452
278,Novotel Sunshine Coast Resort,queensland,australia,australia pacific,(3.5),283
279,Novotel Surfers Paradise,queensland,australia,australia pacific,(4.0),1341
280,Mantra Circle on Cavill Surfers Paradise,queensland,australia,australia pacific,(4.0),4655
281,Kingfisher Bay Resort Fraser Island,queensland,australia,australia pacific,(4.0),9755
282,ibis budget Windsor Brisbane,queensland,australia,australia pacific,(3.5),237
283,Mantra Zanzibar Mooloolaba,queensland,australia,australia pacific,(4.0),813
284,BreakFree Grand Pacific Caloundra,queensland,australia,australia pacific,(4.0),1462
285,brisbane and southwest queensland,queensland,australia,australia pacific,nan,
286,gold coast,queensland,australia,australia pacific,nan,
287,sunshine coast,queensland,australia,australia pacific,nan,
288,"fraser coast, capricorn and mackay",queensland,australia,australia pacific,nan,
289,tropical north,queensland,australia,australia pacific,nan,
290,whitsundays,queensland,australia,australia pacific,nan,
291,l'outback queensland,queensland,australia,australia pacific,nan,
292,Sofitel Fiji Resort and Spa,denarau island,fiji islands,australia pacific,(4.0),5545
293,Mercure Nadi,nadi,fiji islands,australia pacific,(3.0),1020
294,Novotel Nadi,nadi,fiji islands,australia pacific,(3.0),1405
295,Novotel Suva Lami Bay,suva,fiji islands,australia pacific,(3.5),761
296,Sofitel Bora Bora Marara Beach Resort,vaitape,french polynesia,australia pacific,(4.0),1458
297,Tahiti Ia Ora Beach Resort - Managed by Sofitel,punaauia,french polynesia,australia pacific,(3.5),2189
298,Sofitel Kia Ora Moorea Beach Resort,maharepa,french polynesia,australia pacific,(4.5),4231
299,Sofitel Bora Bora Private Island,nunue,french polynesia,australia pacific,(4.5),1132
300,Sofitel Kia Ora Moorea Beach Resort,moorea,french polynesia,australia pacific,(4.5),4231
301,Tahiti Ia Ora Beach Resort - Managed by Sofitel,papeete,french polynesia,australia pacific,(3.5),2189
302,Sofitel Bora Bora Private Island,bora bora,french polynesia,australia pacific,(4.5),1132
303,Sofitel Bora Bora Marara Beach Resort,bora bora,french polynesia,australia pacific,(4.0),1458
304,Tahiti Ia Ora Beach Resort - Managed by Sofitel,tahiti,french polynesia,australia pacific,(3.5),2189
305,Sofitel Kia Ora Moorea Beach Resort,tahiti,french polynesia,australia pacific,(4.5),4231
306,Sofitel Bora Bora Marara Beach Resort,tahiti,french polynesia,australia pacific,(4.0),1458
307,Sofitel Bora Bora Private Island,tahiti,french polynesia,australia pacific,(4.5),1132
308,ibis Styles Buenos Aires Florida,buenos aires,argentina,south america,(4.0),52
309,ibis Buenos Aires Obelisco,buenos aires,argentina,south america,(4.0),3921
310,Novotel Buenos Aires,buenos aires,argentina,south america,(4.5),2199
311,ibis Buenos Aires Congreso,buenos aires,argentina,south america,(4.0),2790
312,SLS Buenos Aires Puerto Madero,buenos aires,argentina,south america,nan,
313,Palladio Hotel Buenos Aires - MGallery,buenos aires,argentina,south america,(5.0),356
314,Sofitel Buenos Aires Recoleta,buenos aires,argentina,south america,(4.5),1536
315,Sofitel La Reserva Cardales,buenos aires,argentina,south america,(4.5),1721
316,luna park,buenos aires,argentina,south america,nan,
317,victoria,buenos aires,argentina,south america,nan,
318,Pullman Rosario City Center,rosario,argentina,south america,(4.5),1610
319,Mercure Rosario,rosario,argentina,south america,nan,
320,Sofitel La Reserva Cardales,los cardales,argentina,south america,(4.5),1721
321,Mercure Iguazu Hotel Iru,puerto iguazú,argentina,south america,(4.5),1001
322,ibis Pilar,pilar,argentina,south america,(3.5),382
323,Sofitel La Reserva Cardales,campana,argentina,south america,(4.5),1721
324,ibis Mendoza,mendoza,argentina,south america,(3.5),1010
325,Mercure Santa Rosa La Pampa,santa rosa,argentina,south america,(5.0),1320
326,IBIS SANTA CRUZ DE LA SIERRA,santa cruz de la sierra,bolivia,south america,nan,
327,Delfines Collection Hotel by Mercure,santa cruz de la sierra,bolivia,south america,nan,
328,Novotel Santa Cruz de la Sierra,santa cruz de la sierra,bolivia,south america,nan,
329,Swissôtel Santa Cruz De La Sierra,santa cruz de la sierra,bolivia,south america,nan,
330,Hotel Jequitimar Guarujá,são paulo,brazil,south america,(4.5),3014
331,Novotel Itu Terras de São José Golf & Resort,são paulo,brazil,south america,(4.0),845
332,Ibis São Paulo Paulista,são paulo,brazil,south america,(4.0),3275
333,ibis budget São Paulo Paulista,são paulo,brazil,south america,(3.5),5279
334,ibis Sao Paulo Congonhas,são paulo,brazil,south america,(4.0),3376
335,ibis budget São Paulo Paraiso,são paulo,brazil,south america,(3.5),2986
336,ibis budget São Paulo Jardins,são paulo,brazil,south america,(3.5),3294
337,ibis Sao Paulo Morumbi,são paulo,brazil,south america,(4.0),2844
338,ibis Guarulhos,são paulo,brazil,south america,(3.5),3017
339,Thermas de Olímpia Resorts by Mercure,são paulo,brazil,south america,(3.5),284
340,Novotel Sao Paulo Jaragua Conventions,são paulo,brazil,south america,(4.0),3041
341,Ibis Sao Paulo Barra Funda,são paulo,brazil,south america,(4.0),1532
342,sao paulo city,são paulo,brazil,south america,nan,
343,guaruja,são paulo,brazil,south america,nan,
344,itu,são paulo,brazil,south america,nan,
345,santos,são paulo,brazil,south america,nan,
346,ribeirao preto,são paulo,brazil,south america,nan,
347,guarulhos,são paulo,brazil,south america,nan,
348,campinas,são paulo,brazil,south america,nan,
349,sorocaba,são paulo,brazil,south america,nan,
350,olímpia,são paulo,brazil,south america,nan,
351,sao josé dos campos,são paulo,brazil,south america,nan,
352,sao josé de rio preto,são paulo,brazil,south america,nan,
353,jundiai,são paulo,brazil,south america,nan,
354,Mercure Angra dos Reis,rio de janeiro,brazil,south america,(4.0),1463
355,Novotel Rio de Janeiro Leme,rio de janeiro,brazil,south america,(4.5),2183
356,ibis Copacabana Posto 5,rio de janeiro,brazil,south america,(4.0),1270
357,ibis Rio de Janeiro Barra da Tijuca,rio de janeiro,brazil,south america,(4.0),1352
358,Fairmont Rio de Janeiro Copacabana,rio de janeiro,brazil,south america,(4.5),2306
359,ibis budget Copacabana RJ,rio de janeiro,brazil,south america,(4.0),725
360,Novotel Rio de Janeiro Barra da Tijuca,rio de janeiro,brazil,south america,(4.0),1014
361,ibis Copacabana Posto 2,rio de janeiro,brazil,south america,(4.0),2387
362,ibis Rio de Janeiro Santos Dumont,rio de janeiro,brazil,south america,(4.0),3575
363,ibis Rio de Janeiro Botafogo,rio de janeiro,brazil,south america,(4.0),2236
364,ibis Rio de Janeiro Nova America,rio de janeiro,brazil,south america,(4.5),1006
365,Grand Mercure Rio de Janeiro Copacabana,rio de janeiro,brazil,south america,(4.0),3824
366,rio de janeiro,rio de janeiro,brazil,south america,nan,
367,macae,rio de janeiro,brazil,south america,nan,
368,copacabana,rio de janeiro,brazil,south america,nan,
369,angra dos reis,rio de janeiro,brazil,south america,nan,
370,nova iguacu,rio de janeiro,brazil,south america,nan,
